id,member_id,loan_amnt,funded_amnt,term,int_rate,exp_default_rate,service_fee_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,credit_pull_d,review_status_d,review_status,url,desc,purpose,title,zip_code,addr_state,msa,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,initial_list_status,ils_exp_d,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,effective_int_rate,application_type,disbursement_method,annual_inc_joint,dti_joint,verified_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mtg_payment,housing_payment,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog
"154735298","191009995","15000.0","8875.0","36","11.02","5.14","1.03","491.23","B","B2","","n/a","RENT","40000.0","Not Verified","07-04-2019 07:23:22","08-03-2019 10:00:00","07-04-2019 10:00:00","07-04-2019 07:17:41","07-04-2019 07:27:04","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154735298"," ","Debt consolidation","Debt consolidation","891xx","NV","","0","2","3516","66.7","73.0","21.54","0","0.0","07-03-2009 17:00:00","670","674","0"," "," "," "," ","14","0","7","0","15304","14547.0","68.6","13000","13","7300","6"," ","f","","0","0","0","0","0","null","7","1","1","28500","15304","2186","3","3","3","100","0","0","0","7","120","5","85","1","21200","5","6","0","10.91","INDIVIDUAL","CASH"," "," "," ","1","1","0","0","44","757.0","10.4","1","2","3870.0","53.7","0","0","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154726021","190980736","18600.0","11750.0","60","15.24","7.28","0.86","444.84","C","C2","","< 1 year","RENT","80000.0","Not Verified","07-04-2019 06:00:07","08-03-2019 10:00:00","07-04-2019 10:00:00","07-04-2019 05:58:27","07-04-2019 06:04:14","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154726021"," ","Debt consolidation","Debt consolidation","041xx","ME","","0","7","40597","0.0","30.0","30.66","0","0.0","07-03-2005 17:00:00","740","744","3","40"," ","1"," ","2","4","11","0","84384","17403.0","29.5","58000","34","79861","10"," ","f","","0","0","0","0","0","null","11","3","2","138861","84384","7671","7","3","6","97","0","0","0","20","168","3","168","2","59000","3","7","0","15.00","INDIVIDUAL","CASH"," "," "," ","3","4","0","4","14","66981.0","83.9","3","3","12106.0","60.8","1","11","5","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154649582","190686838","30000.0","12550.0","36","20.00","12.63","1.49","1114.91","D","D2","Sr. Events Project Manager","10+ years","RENT","111111.0","Not Verified","07-02-2019 17:50:48","08-02-2019 06:00:00","07-03-2019 06:00:00","07-02-2019 17:45:02","07-02-2019 18:04:35","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154649582"," ","Debt consolidation","Debt consolidation","926xx","CA","","0","7","10853","50.0","50.7","25.34","0","0.0","12-02-2005 16:00:00","680","684","1"," "," ","3"," ","13","0","18","0","57807","44522.0","50.1","22000","29","34181","22"," ","f","","0","0","0","0","0","null","18","3","11","123081","57807","3400","8","4","7","100","0","0","0","7","163","12","129","11","88900","12","17","0","19.23","INDIVIDUAL","CASH"," "," "," ","0","1","0","1","24","13285.0","38.9","3","6","5323.0","47.0","1","2","2","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154731601","191009245","40000.0","33425.0","36","6.46","2.16","0.86","1225.24","A","A1","Nurse Manager","10+ years","MORTGAGE","108000.0","Not Verified","07-04-2019 10:01:35","08-03-2019 14:00:00","07-04-2019 14:00:00","07-04-2019 08:38:04","07-04-2019 10:03:14","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154731601"," ","Debt consolidation","Debt consolidation","617xx","IL","","0","1","3494","0.0","30.1","18.01","0","0.0","01-03-2005 16:00:00","770","774","0","73"," ","18","73","56","4","7","0","71972","1506.0","9.9","5000","20","106953","11","73","f","","0","0","0","0","0","null","7","0","17","376853","313974","44853","5","1","1","95","0","0","0","5","119","1","133","47","15200","1","4","0","6.45","JOINT","CASH","221000.0","19.94","Not Verified","0","2","0","1","17","70466.0"," ","0","0","1506.0","9.9","1","3","0","1891.39"," ","52780","675","679","08-03-2003 17:00:00","0","3","12","50.3","4","17","0","0","68"
"154736779","191012542","14000.0","7375.0","36","10.33","5.14","1.03","453.92","B","B1","Construction Coordinator","< 1 year","RENT","72800.0","Not Verified","07-04-2019 10:00:24","08-03-2019 14:00:00","07-04-2019 14:00:00","07-04-2019 09:54:41","07-04-2019 10:03:01","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154736779"," ","Debt consolidation","Debt consolidation","060xx","CT","","0","3","9718","25.0","65.2","20.49","0","0.0","11-03-1987 16:00:00","670","674","1","48"," ","4","48","19","4","10","0","46007","18860.0","58.8","27900","30","38938","18"," ","f","","0","0","0","0","0","null","10","0","19","286510","245723","24572","9","2","4","90","0","0","0","8","154","4","380","19","32100","4","7","17331","10.22","INDIVIDUAL","CASH"," "," "," ","0","2","0","2","20","27147.0","69.7","0","1","18070.0","64.8","2","3","1","1671.97"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154750280","191056987","40000.0","33950.0","60","15.24","7.28","0.86","956.65","C","C2","Journeyman Electrician","10+ years","MORTGAGE","120000.0","Source Verified","07-04-2019 14:06:13","08-03-2019 18:00:00","07-04-2019 18:00:00","07-04-2019 13:10:57","07-04-2019 14:11:15","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154750280"," ","Debt consolidation","Debt consolidation","775xx","TX","","0","3","12933","25.0","49.9","20.76","0","0.0","04-03-2012 17:00:00","720","724","0","39","114","11","39","40","3","12","1","81996","18564.0","49.8","25800","27","82611","11"," ","f","","1","0","0","0","0","null","12","1","11","282911","238338","19862","4","2","4","96","0","0","0","13","87","3","80","26","37300","3","8","0","15.00","INDIVIDUAL","CASH"," "," "," ","0","3","1","2","11","63432.0","76.8","0","0","9898.0","68.4","1","8","2","1137"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154607967","190592152","30000.0","16675.0","36","20.00","12.63","1.49","1114.91","D","D2","Clinical Operations Director","4 years","RENT","160000.0","Not Verified","07-03-2019 09:42:00","08-02-2019 14:00:00","07-03-2019 14:00:00","07-02-2019 09:29:52","07-03-2019 10:12:39","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154607967"," ","Debt consolidation","Debt consolidation","900xx","CA","","0","1","37815","20.0","24.4","26.64","1","0.0","06-01-2001 17:00:00","710","714","0","22"," ","7","22","9","0","12","0","59917","12185.0","20.8","50000","24","117292","14","40","f","","0","0","0","0","0","null","12","1","9","179704","59917","4993","11","3","5","91","0","0","0","9","217","3","205","9","58500","3","7","0","19.23","INDIVIDUAL","CASH"," "," "," ","0","4","0","0","29","45928.0","39.2","1","1","6798.0","33.3","0","0","1","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154854355","191249575","10400.0","9850.0","36","7.56","2.16","0.86","323.8","A","A3","Ophthalmic Technician","10+ years","RENT","45000.0","Not Verified","07-07-2019 06:03:10","08-06-2019 10:00:00","07-07-2019 10:00:00","07-07-2019 05:59:41","07-07-2019 06:04:36","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154854355"," ","Debt consolidation","Debt consolidation","444xx","OH","","0","3","16128","0.0","27.4","29.04","0","0.0","07-06-2011 17:00:00","725","729","1"," ","107","4"," ","4","0","11","1","27404","7926.0","23.5","22200","18","39102","13"," ","f","","1","0","0","0","0","null","11","1","4","72802","27404","2491","5","1","4","100","0","0","0","5","63","3","96","4","33700","3","8","0","7.55","INDIVIDUAL","CASH"," "," "," ","1","3","0","2","14","19478.0","49.8","1","1","6072.0","37.6","1","0","1","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154218064","189750145","12000.0","11150.0","36","11.71","5.14","1.03","396.92","B","B3","Casino Finance Manager","1 year","RENT","88000.0","Not Verified","07-07-2019 18:00:45","08-07-2019 06:00:00","07-08-2019 06:00:00","06-25-2019 17:25:42","07-07-2019 18:06:59","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154218064"," ","Debt consolidation","Debt consolidation","891xx","NV","","0","9","31713","28.6","23.0","26.54","0","0.0","04-25-2006 17:00:00","735","739","0"," "," ","14"," ","2","0","11","0","46449","9487.0","23.0","41200","32","68286","15"," ","f","","0","0","0","0","0","null","11","3","2","109486","46449","4223","11","3","7","100","0","0","0","17","158","3","132","2","41200","3","7","0","11.60","INDIVIDUAL","CASH"," "," "," ","2","4","1","3","6","36962.0","54.1","2","6","5079.0","42.4","1","0","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"154876971","191309123","7000.0","5125.0","36","17.74","7.92","1.22","252.16","C","C5","Software Developer","1 year","RENT","66000.0","Not Verified","07-07-2019 18:36:45","08-07-2019 06:00:00","07-08-2019 06:00:00","07-07-2019 18:32:05","07-07-2019 18:40:47","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=154876971"," ","Debt consolidation","Debt consolidation","920xx","CA","","0","11","12714","0.0","21.0","8.36","2","0.0","08-07-2006 17:00:00","690","694","1","21"," ","6","21","2","0","9","0","64783","3386.0","21.0","16100","40","60763","13","21","f","","0","4","0","0","0","21","9","6","2","76863","64783","7198","10","4","6","92","2","0","0","27","155","4","76","2","16100","4","6","0","17.44","INDIVIDUAL","CASH"," "," "," ","4","3","3","5","3","61397.0","90.0","3","6","1249.0","27.1","1","0","2","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
